Subzona,NDVI_mean_filtered,n_filtered,year,month,sample,NDVI_mean_filtered_norm
Bosques_con_muerdago_2,0.4834507480973665,3267,2022,11,3,0.7417253740486832
Bosques_con_muerdago_3,0.6451169435746082,32820,2022,11,3,0.8225584717873041
Bosques_densos_pino_oyamel,0.48177469580815024,29796,2022,11,3,0.7408873479040752
Mariposa_monarca,0.7845167447359134,543,2022,11,3,0.8922583723679567
Parque_venados,0.43014051765203476,60,2022,11,3,0.7150702588260174
Toluca,0.5457828855080132,15956,2022,11,3,0.7728914427540066
Bosques_con_muerdago_2,0.6458297819673424,3233,2022,12,3,0.8229148909836712
Bosques_con_muerdago_3,0.6336350354827359,32878,2022,12,3,0.8168175177413679
Bosques_densos_pino_oyamel,0.5388098790022366,29791,2022,12,3,0.7694049395011183
Mariposa_monarca,0.7199710169434548,554,2022,12,3,0.8599855084717274
Parque_venados,0.34227592061305867,60,2022,12,3,0.6711379603065293
Toluca,0.6381961594165922,15817,2022,12,3,0.8190980797082961
Bosques_con_muerdago_2,0.607103441365575,3243,2023,1,3,0.8035517206827876
Bosques_con_muerdago_3,0.6394927978973981,32885,2023,1,3,0.819746398948699
Bosques_densos_pino_oyamel,0.6215739222980863,29787,2023,1,3,0.8107869611490431
Mariposa_monarca,0.7746560580442139,536,2023,1,3,0.887328029022107
Parque_venados,0.3401290453397311,60,2023,1,3,0.6700645226698656
Toluca,0.604028734518209,15771,2023,1,3,0.8020143672591045
Bosques_con_muerdago_2,0.5927733243061188,3245,2023,2,2,0.7963866621530594
Bosques_con_muerdago_3,0.6071857020801835,32903,2023,2,2,0.8035928510400918
Bosques_densos_pino_oyamel,0.6111964843862513,29790,2023,2,2,0.8055982421931256
Mariposa_monarca,0.7939211107901673,551,2023,2,2,0.8969605553950837
Parque_venados,0.3181389608219558,59,2023,2,2,0.6590694804109779
Toluca,0.580325375457662,15830,2023,2,2,0.790162687728831
Bosques_con_muerdago_2,0.5963764381660542,3266,2023,3,2,0.7981882190830272
Bosques_con_muerdago_3,0.4140059367472598,32905,2023,3,2,0.7070029683736299
Bosques_densos_pino_oyamel,0.6551191615899211,29735,2023,3,2,0.8275595807949605
Mariposa_monarca,0.6382403976675393,553,2023,3,2,0.8191201988337696
Parque_venados,0.2571447223424911,60,2023,3,2,0.6285723611712455
Toluca,0.5098998237695616,15955,2023,3,2,0.7549499118847808
Bosques_con_muerdago_2,0.49648868843799615,3251,2023,4,3,0.7482443442189981
Bosques_con_muerdago_3,0.5447624757538917,32905,2023,4,3,0.7723812378769459
Bosques_densos_pino_oyamel,0.4428471309416134,29774,2023,4,3,0.7214235654708067
Mariposa_monarca,0.7090391890458583,554,2023,4,3,0.8545195945229291
Parque_venados,0.33874974355978127,59,2023,4,3,0.6693748717798906
Toluca,0.4695698819960733,15964,2023,4,3,0.7347849409980367
Bosques_con_muerdago_2,0.5296516598010604,3224,2023,5,2,0.7648258299005302
Bosques_con_muerdago_3,0.5590650809826617,32880,2023,5,2,0.7795325404913309
Bosques_densos_pino_oyamel,0.5308600602054885,29783,2023,5,2,0.7654300301027442
Mariposa_monarca,0.7162410988436116,554,2023,5,2,0.8581205494218058
Parque_venados,0.36797721946940704,59,2023,5,2,0.6839886097347035
Toluca,0.5997965312480322,15962,2023,5,2,0.7998982656240161
Bosques_con_muerdago_2,0.41065430339094905,3267,2023,6,3,0.7053271516954746
Bosques_con_muerdago_3,0.5377167193605163,32831,2023,6,3,0.7688583596802582
Bosques_densos_pino_oyamel,0.4964402244814436,29784,2023,6,3,0.7482201122407218
Mariposa_monarca,0.509416863322258,554,2023,6,3,0.754708431661129
Parque_venados,0.4451050374370355,60,2023,6,3,0.7225525187185178
Toluca,0.5291979925717051,15965,2023,6,3,0.7645989962858526
Bosques_con_muerdago_2,0.3631509257701494,3267,2023,7,3,0.6815754628850748
Bosques_con_muerdago_3,0.5138026711473769,32770,2023,7,3,0.7569013355736884
Bosques_densos_pino_oyamel,0.4259573746684013,29788,2023,7,3,0.7129786873342007
Mariposa_monarca,0.6281736094181932,552,2023,7,3,0.8140868047090966
Parque_venados,0.41473752503492395,60,2023,7,3,0.707368762517462
Toluca,0.5122907479619628,15957,2023,7,3,0.7561453739809814
Bosques_con_muerdago_2,0.4422345831490203,3267,2023,8,2,0.7211172915745101
Bosques_con_muerdago_3,0.31729187633242184,32856,2023,8,2,0.6586459381662109
Bosques_densos_pino_oyamel,0.31828866213853657,29764,2023,8,2,0.6591443310692683
Mariposa_monarca,,554,2023,8,2,
Parque_venados,0.1876690197322103,60,2023,8,2,0.5938345098661052
Toluca,0.6384881514621191,15966,2023,8,2,0.8192440757310595
Bosques_con_muerdago_2,0.5967339294745239,3226,2023,9,1,0.798366964737262
Bosques_con_muerdago_3,0.5604496378331716,32726,2023,9,1,0.7802248189165858
Bosques_densos_pino_oyamel,0.5934103288067948,29666,2023,9,1,0.7967051644033973
Mariposa_monarca,0.21813014256538912,554,2023,9,1,0.6090650712826946
Parque_venados,0.5277714631878413,60,2023,9,1,0.7638857315939207
Toluca,0.598047860698662,15963,2023,9,1,0.799023930349331
Bosques_con_muerdago_2,0.5130019223783165,3267,2023,10,1,0.7565009611891582
Bosques_con_muerdago_3,0.5759110657603219,32878,2023,10,1,0.787955532880161
Bosques_densos_pino_oyamel,0.6068099256267087,29690,2023,10,1,0.8034049628133544
Mariposa_monarca,0.5005484586412257,553,2023,10,1,0.7502742293206128
Parque_venados,,60,2023,10,1,
Toluca,0.6711578321826818,15874,2023,10,1,0.8355789160913409
Bosques_con_muerdago_2,0.4319329570537378,3266,2023,11,3,0.7159664785268689
Bosques_con_muerdago_3,0.623187382964085,32724,2023,11,3,0.8115936914820425
Bosques_densos_pino_oyamel,0.5854736246791566,29672,2023,11,3,0.7927368123395784
Mariposa_monarca,0.6550473809126286,554,2023,11,3,0.8275236904563144
Parque_venados,,60,2023,11,3,
Toluca,0.5620989611303475,15949,2023,11,3,0.7810494805651738
Bosques_con_muerdago_2,,3267,2023,12,1,
Bosques_con_muerdago_3,0.5158872379730801,32902,2023,12,1,0.7579436189865401
Bosques_densos_pino_oyamel,0.3448774000807353,29723,2023,12,1,0.6724387000403677
Mariposa_monarca,0.4953133579117158,554,2023,12,1,0.7476566789558579
Parque_venados,,60,2023,12,1,
Toluca,0.2323672457243041,15965,2023,12,1,0.616183622862152
Bosques_con_muerdago_2,0.6496717150371123,3151,2024,1,3,0.8248358575185561
Bosques_con_muerdago_3,0.6127775242446689,32592,2024,1,3,0.8063887621223345
Bosques_densos_pino_oyamel,0.6254949915010639,29466,2024,1,3,0.812747495750532
Mariposa_monarca,0.7910671460981752,526,2024,1,3,0.8955335730490877
Parque_venados,0.3573355103658527,52,2024,1,3,0.6786677551829263
Toluca,0.6264117635689904,15612,2024,1,3,0.8132058817844952
Bosques_con_muerdago_2,0.609659121325247,3153,2024,2,3,0.8048295606626235
Bosques_con_muerdago_3,0.5984805049925453,32635,2024,2,3,0.7992402524962727
Bosques_densos_pino_oyamel,0.6223075230631718,29464,2024,2,3,0.8111537615315859
Mariposa_monarca,0.7478086586110879,533,2024,2,3,0.873904329305544
Parque_venados,0.3247059480176653,52,2024,2,3,0.6623529740088326
